#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 58518
9.00 0 0 0 8.875 9.125 103936
9.25 0 4.28803e-06 0 9.125 9.375 466305
9.50 2.24242e-05 0.000107975 4.67113e-06 9.375 9.625 1.73919e+06
9.75 0.000125457 0.000736583 4.77071e-06 9.625 9.875 3.84993e+06
10.00 0.000176375 0.00136495 -2.13477e-06 9.875 10.125 4.04251e+06
10.25 8.12056e-05 0.000872928 -2.25117e-06 10.125 10.375 2.70917e+06
10.50 6.88062e-05 0.000431834 1.95595e-05 10.375 10.625 1.67136e+06
10.75 0.000307273 0.000874049 0.000249358 10.625 10.875 1.01864e+06
11.00 0.00135406 0.00224898 0.00107583 10.875 11.125 584171
11.25 0.00495171 0.00515011 0.00368014 11.125 11.375 329785
11.50 0.0149723 0.009466 0.00986003 11.375 11.625 185276
11.75 0.0405767 0.0128488 0.0251356 11.625 11.875 103483
12.00 0.0915158 0.0176633 0.0483983 11.875 12.125 56635
12.25 0.156618 0.0242679 0.0677457 12.125 12.375 30335
12.50 0.212236 0.0269879 0.0754548 12.375 12.625 15789
12.75 0.22842 0.0360563 0.0728 12.625 12.875 7924
13.00 0.213791 0.0326126 0.0821773 12.875 13.125 3756
13.25 0.1446 0.0379977 0.0591824 13.125 13.375 1639
13.50 0.107413 0.0272315 0.0514372 13.375 13.625 661
13.75 0.0983607 0.0168657 0.0532787 13.625 13.875 244
14.00 0.06 0.02 0 13.875 14.125 50
14.25 0 0.1 0 14.125 14.375 10
14.50 0 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
