#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 43401
9.00 0 0 0 8.875 9.125 78226
9.25 5.46672e-06 2.73025e-06 2.73437e-06 9.125 9.375 365850
9.50 3.31998e-05 0.000195965 1.54341e-06 9.375 9.625 1.44579e+06
9.75 0.000294109 0.00147837 2.01121e-05 9.625 9.875 3.47831e+06
10.00 0.000386471 0.00250404 0 9.875 10.125 3.95631e+06
10.25 0.000186161 0.00164992 -3.03081e-05 10.125 10.375 2.69122e+06
10.50 0.000227431 0.000877302 3.98419e-05 10.375 10.625 1.66204e+06
10.75 0.000968251 0.00214937 0.000679916 10.625 10.875 1.01936e+06
11.00 0.00344924 0.00450826 0.00224254 10.875 11.125 597233
11.25 0.0114675 0.00815897 0.00685706 11.125 11.375 340616
11.50 0.0323296 0.0127848 0.0171139 11.375 11.625 194899
11.75 0.0780942 0.0141692 0.0362813 11.625 11.875 110149
12.00 0.155251 0.0186908 0.05856 11.875 12.125 61977
12.25 0.250518 0.0204823 0.0737052 12.125 12.375 33786
12.50 0.315146 0.0264095 0.074964 12.375 12.625 18309
12.75 0.335644 0.0282021 0.079429 12.625 12.875 9522
13.00 0.301154 0.0330177 0.087617 12.875 13.125 4765
13.25 0.222921 0.0356065 0.0781372 13.125 13.375 2225
13.50 0.154974 0.0378983 0.0512002 13.375 13.625 955
13.75 0.134211 0.0210526 0.0578947 13.625 13.875 380
14.00 0.116279 0.0232558 0.0232558 13.875 14.125 129
14.25 0.0833333 0.0416667 0 14.125 14.375 24
14.50 0 0 0 14.375 14.625 2
14.75 0 0 0 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
