#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.43572e-05 0 8.625 8.875 29106
9.00 0 0 0 8.875 9.125 49344
9.25 1.35916e-05 9.05616e-06 4.53391e-06 9.125 9.375 220724
9.50 0.000150266 0.00010267 6.67725e-05 9.375 9.625 752002
9.75 0.00205139 0.00201295 0.000453109 9.625 9.875 1.98987e+06
10.00 0.00367451 0.00381622 0.000954733 9.875 10.125 3.057e+06
10.25 0.00608397 0.00410369 0.00238706 10.125 10.375 2.30721e+06
10.50 0.0135574 0.00458166 0.0051084 10.375 10.625 1.4688e+06
10.75 0.0345249 0.00856763 0.0105849 10.625 10.875 914529
11.00 0.0755329 0.0156127 0.0203442 10.875 11.125 566217
11.25 0.145892 0.0192801 0.0345716 11.125 11.375 339560
11.50 0.262151 0.0215072 0.0548263 11.375 11.625 202151
11.75 0.420485 0.015545 0.0713445 11.625 11.875 120166
12.00 0.589376 0.0126532 0.0682793 11.875 12.125 70707
12.25 0.722832 0.00679892 0.0493947 12.125 12.375 41437
12.50 0.788818 0.000821054 0.0375775 12.375 12.625 24145
12.75 0.784022 0.00772339 0.0415006 12.625 12.875 14057
13.00 0.722593 0.0226533 0.0575038 12.875 13.125 7945
13.25 0.629848 0.0286106 0.0773606 13.125 13.375 4409
13.50 0.506499 0.0370972 0.0775061 13.375 13.625 2385
13.75 0.401135 0.039804 0.0748703 13.625 13.875 1234
14.00 0.313856 0.0183583 0.0676507 13.875 14.125 599
14.25 0.251799 0.0323741 0.0496325 14.125 14.375 278
14.50 0.325843 0.0377937 0.0337079 14.375 14.625 89
14.75 0.205882 0.0588235 0 14.625 14.875 34
15.00 0.333333 0 0 14.875 15.125 3
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
