#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 72122
9.00 0 0 0 8.875 9.125 126506
9.25 0 0 0 9.125 9.375 545530
9.50 1.12752e-05 5.8093e-05 3.10516e-06 9.375 9.625 1.95119e+06
9.75 4.68994e-05 0.000339575 4.11099e-06 9.625 9.875 4.09387e+06
10.00 6.74561e-05 0.000613507 3.70298e-06 9.875 10.125 4.0619e+06
10.25 3.14984e-05 0.000464432 -5.79319e-07 10.125 10.375 2.69855e+06
10.50 2.1028e-05 0.000208718 1.64397e-06 10.375 10.625 1.66444e+06
10.75 0.000126085 0.000335564 0.000112383 10.625 10.875 1.00726e+06
11.00 0.000548167 0.00113644 0.000487883 10.875 11.125 570994
11.25 0.00234506 0.0028935 0.00205537 11.125 11.375 318116
11.50 0.00736865 0.00653843 0.00586533 11.375 11.625 176966
11.75 0.0225584 0.00935864 0.0175599 11.625 11.875 97436
12.00 0.055453 0.0145077 0.0377764 11.875 12.125 52567
12.25 0.102354 0.0232669 0.0573789 12.125 12.375 27483
12.50 0.150637 0.0271919 0.0707665 12.375 12.625 14120
12.75 0.172894 0.0266615 0.0732345 12.625 12.875 6744
13.00 0.158116 0.0345658 0.0739491 12.875 13.125 3099
13.25 0.10443 0.0379747 0.0506329 13.125 13.375 1264
13.50 0.090535 0.0185185 0.0493827 13.375 13.625 486
13.75 0.0769231 0.025641 0.0384615 13.625 13.875 156
14.00 0.0689655 0.0344828 0 13.875 14.125 29
14.25 0 0 0 14.125 14.375 4
14.50 0 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
